store	date_open	date_close	cart	source	seat	place_checkout	order	orderdate	product	quantity	options	place_item	user	customer
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-01T21:55:42Z	2022-09-01T21:58:01Z	3dbffaddc5430475ecc2309987ba8a93fbeb5fac	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	d18717178b046908de5a03e1c5f963c9d67753ca	2022-09-01T21:55:50Z	55dcb97e7884f357eaeb3f69b6bfa056f1fac8f3	1		7sa4clpol45ht	89bmmbm9pruiu	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-01T22:01:24Z	2022-09-01T22:07:22Z	eaea2878f9f1a536b71a764c700d10008d6b57bf	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	c4ef3a1018db0acdaadde894ab818ba4112c2a80	2022-09-01T22:01:28Z	995745f2a895c7160e18f82e1d9bef0e61a681c5	1		7sa4clpol45ht	89bmmbm9pruiu	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-01T22:03:52Z	2022-09-01T22:07:39Z	7b48e03fc6cf901b226cc029c0bf18e9e1088fca	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	71f53b890e7acbc895098ef0c7da18f1b63f5fc5	2022-09-01T22:03:55Z	55dcb97e7884f357eaeb3f69b6bfa056f1fac8f3	1		7sa4clpol45ht	8jqglfee4udbr	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-01T22:33:18Z	2022-09-01T22:41:34Z	53bce20821b10cac0a001e846817cfc6ca90d9da	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	c3e8d3041f166a13726d55261107de8b2a24ba7d	2022-09-01T22:33:44Z	5a59459c778cc7ed48e02fdfe2500d3444a1eeb9	1		7sa4clpol45ht	89bmmbm9pruiu	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-01T21:53:58Z	2022-09-01T23:04:45Z	ff150bed423552d4724f7b9b2d08d1322dacc539	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	14e51785f2c3adc257745427622b55ebe7b393e3	2022-09-01T21:57:50Z	29ea18dbbc89a1dca2e2a916fd8ff40847ae336d	1		7sa4clpol45ht	8q0tccgu00t9o	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-01T21:53:58Z	2022-09-01T23:04:45Z	ff150bed423552d4724f7b9b2d08d1322dacc539	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	14e51785f2c3adc257745427622b55ebe7b393e3	2022-09-01T21:57:50Z	f9eca660e094f97147423a7cb6372792a646eea4	1		5b80irjqgbmmp	8q0tccgu00t9o	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-01T21:53:58Z	2022-09-01T23:04:45Z	ff150bed423552d4724f7b9b2d08d1322dacc539	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	3d43a61a12bcb59ad6da58d2b86205e9ae9f5922	2022-09-01T22:33:17Z	58e2b85750145054ea3040525e77070ffc166c29	1		5b80irjqgbmmp	8q0tccgu00t9o	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-01T21:53:58Z	2022-09-01T23:04:45Z	ff150bed423552d4724f7b9b2d08d1322dacc539	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	bbba19a5e599c7ffaa16a7ba2defc1ed58d8decb	2022-09-01T22:49:15Z	39e6d9ce37555eef35f3b66a4a16d0f896da313d	1		7sa4clpol45ht	8q0tccgu00t9o	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-01T21:53:58Z	2022-09-01T23:04:45Z	ff150bed423552d4724f7b9b2d08d1322dacc539	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	7b906202c8a015fd74e543009fdba2fa544bd9c8	2022-09-01T22:27:56Z	e8352a217150f9c42cf1def262e345b26e8ffae3	1		7sa4clpol45ht	8q0tccgu00t9o	
93d9012c904c3764e268bc2316d5c27dd0c784d2	2022-09-01T21:53:58Z	2022-09-01T23:04:45Z	ff150bed423552d4724f7b9b2d08d1322dacc539	97c7202bf7dd0af14651f3b1f3fcd93b8280f7c1	f9fb6d45e1c9aa9dca1981054bedc4090cc0357a	ce1d4d7ea60bb8e823571ea83672dbf60f769fd7	14e51785f2c3adc257745427622b55ebe7b393e3	2022-09-01T21:54:17Z	29ea18dbbc89a1dca2e2a916fd8ff40847ae336d	1		7sa4clpol45ht	8q0tccgu00t9o	
